id,title,description,availability,condition,price,currency,brand,color,material,size,gtin,product_type,link,image_link,shipping_price,shipping_country
454,Specialized 2 Comp-Sininen Sähkögravelpyörä,"Electric gravel bike with 320Wh battery and lightweight carbon frame",in_stock,new,6399.00,EUR,,Sininen,Hiilikuitu,52,196625208515,"Sähköpyörät > Sähkögravelpyörät",https://ebikebrothers.fi/specialized-creo-2-comp,https://ebikebrothers.fi/media/catalog/product/9/8/98123-51_specialized_turbo_creo_2_comp_sahkogravelpyora_sininen_1_2.png,29.90,FI
456,Specialized Creo 2 Comp-Sininen Sähkögravelpyörä,"Electric gravel bike with 320Wh battery and lightweight carbon frame",in_stock,new,6399.00,EUR,,Sininen,Hiilikuitu,56,196625208713,"Sähköpyörät > Sähkögravelpyörät",https://ebikebrothers.fi/specialized-creo_2_comp,https://ebikebrothers.fi/media/catalog/product/9/8/98123-51_specialized_turbo_creo_2_comp_sahkogravelpyora_sininen_1_3.png,29.90,FI
534,Specialized Turbo Levo Alloy-Tummanvihreä-S6 Sähkömaastopyörä,"Full suspension electric mountain bike with 700Wh battery",in_stock,new,5399.00,EUR,,Tummanvihreä,Alumiini,S6,,"Sähköpyörät > Sähkömaastopyörä",https://ebikebrothers.fi/specialized-turbo-levo-alloy,https://ebikebrothers.fi/media/catalog/product/9/5/95224-85_specialized_turbo_levo_alloy_sahkomaastopyora_tummanvihrea_1_6.png,29.90,FI
535,Specialized Turbo Levo Alloy-Lime-S1 Sähkömaastopyörä,"Full suspension electric mountain bike with 700Wh battery",in_stock,new,5399.00,EUR,,Lime,Alumiini,S1,,"Sähköpyörät > Sähkömaastopyörä",https://ebikebrothers.fi/specialized-turbo-levo-alloy,https://ebikebrothers.fi/media/catalog/product/9/5/95224-83_specialized_turbo_levo_alloy_sahkomaastopyora_lime_1.png,29.90,FI
